name,placeId,taking_students,notes
"Alexandra Unitas, Registered Psychotherapist",ChIJmxZArQrV1IkRsAsvxthB59I,,
Alia Ziesman Counselling,ChIJW82ub9KbK4gRyeYnndxLG7s,,
"Alice Rushing MASc., Psychologist and Associates",ChIJs8QRVA30K4gRycAG6BJfMcY,,
"Alice Wood MSW RSW- Registered Social Worker, Psychotherapist",ChIJNZdRQJ4rO4gR0i0fnVP9ids,,
Alicia Dance Counselling Services,ChIJfysJXmpvK4gRQRAXBxKHLcs,,
Align Osteopathy & Wellness,ChIJU4IHYsMhWU0RpXWMf2qJY6E,,
Align Wellness,ChIJVVVl8Z1AcVMRnO13e03OHCA,,
Aligned Health,ChIJNVLURTLzK4gRzKY0qlTCiaA,,
Aligned Minds,ChIJlYuAiR9wcVMRKQllJdOmE8k,,
Aligned Minds Counseling and Therapy,ChIJuXymYg8joFMRliP3mWypov8,,
Aligned Psychotherapy,ChIJG4zLi3AFzkwRUvNS2XH0xg4,,
Aliman family Services (AIFS),ChIJl2TjXKEJnGERRkzP2ioyMtI,,
Alisha Sabourin,ChIJyaUL1WMioFMRueyObbPTYjY,,
Alison K. Parnell - Child Life Specialist,ChIJBeei-tWiKogRRFhPXwvx51c,,
All Good Psychotherapy & Wellness,ChIJRSLxMfCRLa0RQqaNuPFGqW0,,
All of You Wellness Centre,ChIJIec-IU_L1IkRDS16nb8g3PU,,
Allegro Counselling Inc.,ChIJyVOfga43K4gROes-aTdYTQU,,
Alli MacKenzie Hypnotherapy & Energy Healing,ChIJuU7q96f5n1MRhlTiFWRC7Gw,,
Alliance Therapy Group,ChIJNZn_TdWjKogRzr_iLDvvwYw,,
"Allison Roy, MA, C. Psych.",ChIJsScXaSZVLk0RzOoCl3H2PtU,,
Almariego Psychotherapy,ChIJr7t2ESIvO4gR29ZKEzyg2Y4,,
Alpha Court Community Mental Health & Addiction Services,ChIJE9nY8sojWU0RChHSxdQLCIs,,
Alta Psychology,ChIJdWK6ZE9KlokRk4eBAlpr5CA,,
Alta-Sask Wellness - Lloydminster,ChIJV1OF1YmyCVMRzxr4n7bBaQs,,
